numQubits: 16, numElems: 65536, numReps: 202
prob of solution |24484> = 0.000137324
prob of solution |24484> = 0.000381423
prob of solution |24484> = 0.000747498
prob of solution |24484> = 0.00123546
prob of solution |24484> = 0.00184519
prob of solution |24484> = 0.00257653
prob of solution |24484> = 0.00342932
prob of solution |24484> = 0.00440333
prob of solution |24484> = 0.00549834
prob of solution |24484> = 0.00671408
prob of solution |24484> = 0.00805025
prob of solution |24484> = 0.00950651
prob of solution |24484> = 0.0110825
prob of solution |24484> = 0.0127779
prob of solution |24484> = 0.0145922
prob of solution |24484> = 0.0165251
prob of solution |24484> = 0.0185759
prob of solution |24484> = 0.0207443
prob of solution |24484> = 0.0230297
prob of solution |24484> = 0.0254316
prob of solution |24484> = 0.0279493
prob of solution |24484> = 0.0305823
prob of solution |24484> = 0.0333298
prob of solution |24484> = 0.0361913
prob of solution |24484> = 0.039166
prob of solution |24484> = 0.0422533
prob of solution |24484> = 0.0454522
prob of solution |24484> = 0.0487622
prob of solution |24484> = 0.0521823
prob of solution |24484> = 0.0557118
prob of solution |24484> = 0.0593497
prob of solution |24484> = 0.0630952
prob of solution |24484> = 0.0669473
prob of solution |24484> = 0.0709052
prob of solution |24484> = 0.0749678
prob of solution |24484> = 0.0791342
prob of solution |24484> = 0.0834034
prob of solution |24484> = 0.0877743
prob of solution |24484> = 0.0922458
prob of solution |24484> = 0.0968168
prob of solution |24484> = 0.101486
prob of solution |24484> = 0.106253
prob of solution |24484> = 0.111116
prob of solution |24484> = 0.116074
prob of solution |24484> = 0.121125
prob of solution |24484> = 0.126269
prob of solution |24484> = 0.131505
prob of solution |24484> = 0.13683
prob of solution |24484> = 0.142244
prob of solution |24484> = 0.147745
prob of solution |24484> = 0.153333
prob of solution |24484> = 0.159004
prob of solution |24484> = 0.16476
prob of solution |24484> = 0.170597
prob of solution |24484> = 0.176514
prob of solution |24484> = 0.18251
prob of solution |24484> = 0.188584
prob of solution |24484> = 0.194734
prob of solution |24484> = 0.200959
prob of solution |24484> = 0.207256
prob of solution |24484> = 0.213625
prob of solution |24484> = 0.220064
prob of solution |24484> = 0.226571
prob of solution |24484> = 0.233145
prob of solution |24484> = 0.239784
prob of solution |24484> = 0.246487
prob of solution |24484> = 0.253251
prob of solution |24484> = 0.260076
prob of solution |24484> = 0.266959
prob of solution |24484> = 0.2739
prob of solution |24484> = 0.280895
prob of solution |24484> = 0.287944
prob of solution |24484> = 0.295045
prob of solution |24484> = 0.302195
prob of solution |24484> = 0.309395
prob of solution |24484> = 0.31664
prob of solution |24484> = 0.32393
prob of solution |24484> = 0.331264
prob of solution |24484> = 0.338638
prob of solution |24484> = 0.346052
prob of solution |24484> = 0.353504
prob of solution |24484> = 0.360991
prob of solution |24484> = 0.368512
prob of solution |24484> = 0.376065
prob of solution |24484> = 0.383649
prob of solution |24484> = 0.391261
prob of solution |24484> = 0.398899
prob of solution |24484> = 0.406562
prob of solution |24484> = 0.414248
prob of solution |24484> = 0.421955
prob of solution |24484> = 0.429681
prob of solution |24484> = 0.437424
prob of solution |24484> = 0.445183
prob of solution |24484> = 0.452955
prob of solution |24484> = 0.460738
prob of solution |24484> = 0.468531
prob of solution |24484> = 0.476331
prob of solution |24484> = 0.484138
prob of solution |24484> = 0.491948
prob of solution |24484> = 0.49976
prob of solution |24484> = 0.507572
prob of solution |24484> = 0.515383
prob of solution |24484> = 0.523189
prob of solution |24484> = 0.53099
prob of solution |24484> = 0.538784
prob of solution |24484> = 0.546568
prob of solution |24484> = 0.55434
prob of solution |24484> = 0.562099
prob of solution |24484> = 0.569844
prob of solution |24484> = 0.577571
prob of solution |24484> = 0.585279
prob of solution |24484> = 0.592966
prob of solution |24484> = 0.600631
prob of solution |24484> = 0.608271
prob of solution |24484> = 0.615884
prob of solution |24484> = 0.62347
prob of solution |24484> = 0.631025
prob of solution |24484> = 0.638548
prob of solution |24484> = 0.646038
prob of solution |24484> = 0.653491
prob of solution |24484> = 0.660908
prob of solution |24484> = 0.668285
prob of solution |24484> = 0.67562
prob of solution |24484> = 0.682913
prob of solution |24484> = 0.690162
prob of solution |24484> = 0.697364
prob of solution |24484> = 0.704517
prob of solution |24484> = 0.711621
prob of solution |24484> = 0.718673
prob of solution |24484> = 0.725672
prob of solution |24484> = 0.732616
prob of solution |24484> = 0.739503
prob of solution |24484> = 0.746331
prob of solution |24484> = 0.753099
prob of solution |24484> = 0.759806
prob of solution |24484> = 0.766449
prob of solution |24484> = 0.773027
prob of solution |24484> = 0.779538
prob of solution |24484> = 0.785981
prob of solution |24484> = 0.792355
prob of solution |24484> = 0.798657
prob of solution |24484> = 0.804886
prob of solution |24484> = 0.81104
prob of solution |24484> = 0.817119
prob of solution |24484> = 0.82312
prob of solution |24484> = 0.829042
prob of solution |24484> = 0.834884
prob of solution |24484> = 0.840644
prob of solution |24484> = 0.846322
prob of solution |24484> = 0.851914
prob of solution |24484> = 0.857421
prob of solution |24484> = 0.86284
prob of solution |24484> = 0.868171
prob of solution |24484> = 0.873412
prob of solution |24484> = 0.878561
prob of solution |24484> = 0.883619
prob of solution |24484> = 0.888582
prob of solution |24484> = 0.893451
prob of solution |24484> = 0.898224
prob of solution |24484> = 0.902899
prob of solution |24484> = 0.907476
prob of solution |24484> = 0.911954
prob of solution |24484> = 0.916331
prob of solution |24484> = 0.920607
prob of solution |24484> = 0.924779
prob of solution |24484> = 0.928848
prob of solution |24484> = 0.932813
prob of solution |24484> = 0.936671
prob of solution |24484> = 0.940423
prob of solution |24484> = 0.944068
prob of solution |24484> = 0.947604
prob of solution |24484> = 0.951031
prob of solution |24484> = 0.954348
prob of solution |24484> = 0.957553
prob of solution |24484> = 0.960648
prob of solution |24484> = 0.963629
prob of solution |24484> = 0.966498
prob of solution |24484> = 0.969252
prob of solution |24484> = 0.971892
prob of solution |24484> = 0.974417
prob of solution |24484> = 0.976826
prob of solution |24484> = 0.979119
prob of solution |24484> = 0.981294
prob of solution |24484> = 0.983352
prob of solution |24484> = 0.985292
prob of solution |24484> = 0.987114
prob of solution |24484> = 0.988817
prob of solution |24484> = 0.9904
prob of solution |24484> = 0.991864
prob of solution |24484> = 0.993207
prob of solution |24484> = 0.99443
prob of solution |24484> = 0.995533
prob of solution |24484> = 0.996514
prob of solution |24484> = 0.997375
prob of solution |24484> = 0.998113
prob of solution |24484> = 0.998731
prob of solution |24484> = 0.999226
prob of solution |24484> = 0.9996
prob of solution |24484> = 0.999851
prob of solution |24484> = 0.999981
prob of solution |24484> = 0.999988
prob of solution |24484> = 0.999874
