heaptrack output will be written to "/home/greg/quantum/QuEST_Test_Bench/heaptrack.grover.994398.gz"
starting application, this might take some time...
numQubits: 18, numElems: 262144, numReps: 403
prob of solution |7> = 3.43319e-05
prob of solution |7> = 9.53645e-05
prob of solution |7> = 0.000186909
prob of solution |7> = 0.000308959
prob of solution |7> = 0.000461508
prob of solution |7> = 0.000644546
prob of solution |7> = 0.000858062
prob of solution |7> = 0.00110204
prob of solution |7> = 0.00137648
prob of solution |7> = 0.00168134
prob of solution |7> = 0.00201662
prob of solution |7> = 0.00238229
prob of solution |7> = 0.00277834
prob of solution |7> = 0.00320474
prob of solution |7> = 0.00366145
prob of solution |7> = 0.00414846
prob of solution |7> = 0.00466574
prob of solution |7> = 0.00521324
prob of solution |7> = 0.00579095
prob of solution |7> = 0.00639882
prob of solution |7> = 0.00703682
prob of solution |7> = 0.0077049
prob of solution |7> = 0.00840303
prob of solution |7> = 0.00913117
prob of solution |7> = 0.00988927
prob of solution |7> = 0.0106773
prob of solution |7> = 0.0114952
prob of solution |7> = 0.0123428
prob of solution |7> = 0.0132203
prob of solution |7> = 0.0141275
prob of solution |7> = 0.0150643
prob of solution |7> = 0.0160307
prob of solution |7> = 0.0170267
prob of solution |7> = 0.0180521
prob of solution |7> = 0.019107
prob of solution |7> = 0.0201912
prob of solution |7> = 0.0213047
prob of solution |7> = 0.0224474
prob of solution |7> = 0.0236192
prob of solution |7> = 0.0248202
prob of solution |7> = 0.0260501
prob of solution |7> = 0.0273089
prob of solution |7> = 0.0285967
prob of solution |7> = 0.0299131
prob of solution |7> = 0.0312583
prob of solution |7> = 0.0326321
prob of solution |7> = 0.0340344
prob of solution |7> = 0.0354652
prob of solution |7> = 0.0369243
prob of solution |7> = 0.0384116
prob of solution |7> = 0.0399272
prob of solution |7> = 0.0414708
prob of solution |7> = 0.0430424
prob of solution |7> = 0.0446419
prob of solution |7> = 0.0462692
prob of solution |7> = 0.0479242
prob of solution |7> = 0.0496067
prob of solution |7> = 0.0513168
prob of solution |7> = 0.0530543
prob of solution |7> = 0.054819
prob of solution |7> = 0.0566109
prob of solution |7> = 0.0584299
prob of solution |7> = 0.0602758
prob of solution |7> = 0.0621485
prob of solution |7> = 0.064048
prob of solution |7> = 0.0659741
prob of solution |7> = 0.0679267
prob of solution |7> = 0.0699056
prob of solution |7> = 0.0719108
prob of solution |7> = 0.0739421
prob of solution |7> = 0.0759995
prob of solution |7> = 0.0780827
prob of solution |7> = 0.0801916
prob of solution |7> = 0.0823262
prob of solution |7> = 0.0844863
prob of solution |7> = 0.0866717
prob of solution |7> = 0.0888824
prob of solution |7> = 0.0911182
prob of solution |7> = 0.0933789
prob of solution |7> = 0.0956644
prob of solution |7> = 0.0979746
prob of solution |7> = 0.100309
prob of solution |7> = 0.102669
prob of solution |7> = 0.105052
prob of solution |7> = 0.107459
prob of solution |7> = 0.109891
prob of solution |7> = 0.112346
prob of solution |7> = 0.114825
prob of solution |7> = 0.117328
prob of solution |7> = 0.119853
