numQubits: 10, numElems: 1024, numReps: 26
prob of solution |7> = 0.00876619
prob of solution |7> = 0.0242238
prob of solution |7> = 0.0471083
prob of solution |7> = 0.0770622
prob of solution |7> = 0.113618
prob of solution |7> = 0.156205
prob of solution |7> = 0.204159
prob of solution |7> = 0.256731
prob of solution |7> = 0.3131
prob of solution |7> = 0.372386
prob of solution |7> = 0.433665
prob of solution |7> = 0.495979
prob of solution |7> = 0.558356
prob of solution |7> = 0.619822
prob of solution |7> = 0.679417
prob of solution |7> = 0.736212
prob of solution |7> = 0.78932
prob of solution |7> = 0.837911
prob of solution |7> = 0.881228
prob of solution |7> = 0.918594
prob of solution |7> = 0.949426
prob of solution |7> = 0.973242
prob of solution |7> = 0.989671
prob of solution |7> = 0.998457
prob of solution |7> = 0.999461
prob of solution |7> = 0.992669
